,filename,Total Energy Consumption in Production,Energy Consumption per Vehicle Production,Total Water Usage,Total Wastewater Volume Generated,Water Recycling and Reuse Rate,Total GHG Emissions,GHG Emissions and Intensity per Vehicle,Total Manufacturing Waste Generation,Waste Recycling and Diversion Rate,Battery Recycling Rate,Employee Turnover Rate,Number of Workplace Accidents,Employee Injury Rate,Average Training Hours/Employee,Training Investment/Employee,Workforce Gender Ratios,Workforce Minority Ratios,Number of Corruption Incidents,Anti-corruption Compliance Rate,Number of Anti-competitive Practices,Monetary Value of Fines Imposed,Political Contributions and Lobbying Expenditures,Number of Marketing Compliance and Ethical Advertising Violation Incidents,Sales-weighted Average Fuel Economy/Emissions,Zero Emission and Alternative Fuel Vehicle Sales,Narrative on Sustainability Goals and Actions,Progress Updates on Emission Reduction Targets,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Narrative on Workforce Diversity Employee Well-being and Safety,Disclosure on Community Engagement and Social Impact Initiatives,Narrative on Governance Framework and Board Diversity,Disclosure on ESG Risk Management and Stakeholder Engagement,Narrative on Innovations in Sustainable Technologies and Product Design,Disclosure on Sustainable Supply Chain Management Practices,e_score,s_score,g_score,esg_score,Industry,Company,Year
29,"../data/processed/Auto Parts-Meritor, Inc-2021 Sustainability Report.txt",0.9323892731207353,-0.2,-0.2,-0.2,-0.2,0.9999976220878988,-0.2,0.9851351464632689,0.9159183673469388,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.13264908003615822,0.6999999999999997,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,1.0,1.0,1.0,-0.2,-0.2,48.52,36.25,67.2,51.55,Auto Parts,"Meritor, Inc",2021
30,../data/processed/Auto Parts-MANDO-2020 Sustainability Report.txt,-0.2,-0.2,0.9855648993212465,0.9610769740240934,-0.2,0.9999988403447393,-0.2,-0.2,0.6775510204081634,-0.2,-0.2,-0.2,0.9813780260707635,-0.38011544198715874,-0.2,-0.6470442072152106,-0.2,0.7323943661971831,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,1.0,-0.2,1.0,0.0,1.0,-0.2,-0.2,69.2,67.91,61.87,68.93,Auto Parts,MANDO,2020
31,"../data/processed/Auto Parts-Monro, Inc-2023 ESG Report.txt",-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.47486033519553067,-0.2,-0.2,-0.6470442072152106,0.8375000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,24.76,56.04,54.29,39.35,Auto Parts,"Monro, Inc",2023
32,../data/processed/Auto Manufacturers - Major-Rivian-2023 Environmental and Social Metrics Report.txt,0.9711308447465071,-0.2,-0.2,-0.2,-0.2,0.9999344671774324,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.25362736746682985,0.15282499999999996,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,31.0,49.1,46.97,38.62,Auto Manufacturers - Major,Rivian,2023
33,../data/processed/Auto Parts-Dana Incorporated-2023 Sustainability and Social Responsibility Report.txt,0.7928319146633018,-0.2,-0.2,-0.2,-0.2,-1.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.7605633802816901,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,1.0,1.0,-0.2,1.0,1.0,43.27,45.9,58.93,48.4,Auto Parts,Dana Incorporated,2023
34,../data/processed/Auto Manufacturers - Major-Centuria Capital Group-2023 Sustainability Report.txt,0.6892477930582318,-0.2,0.7808730866891068,-0.2,-0.2,0.9427551127806123,-0.2,0.8742901416419916,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.9755049939438553,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,1.0,1.0,0.0,-0.2,-0.2,45.82,37.44,56.44,46.86,Auto Manufacturers - Major,Centuria Capital Group,2023
35,../data/processed/Auto Manufacturers - Major-Elanor Investors Group-2023 ESG Report.txt,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,1.0,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,27.88,55.97,54.29,41.03,Auto Manufacturers - Major,Elanor Investors Group,2023
36,../data/processed/Auto Parts-Kendrion N.V-2023 Responsibility Report.txt,0.712764674101258,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.6897959183673469,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.9843231961240666,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,1.0,1.0,-0.2,1.0,44.17,47.43,67.2,51.97,Auto Parts,Kendrion N.V,2023
37,../data/processed/Auto Parts-Martinrea International Inc-2023 Sustainability Report.txt,0.8902312395994355,-0.2,0.9255740679591206,-0.2,-0.2,0.9999960007269187,-0.2,0.6520386476336941,0.7959183673469388,-0.2,-0.2,-0.2,0.638733705772812,-0.2,-0.2,0.3171184231643589,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,-0.2,-0.2,-0.2,1.0,1.0,1.0,-0.2,67.83,61.47,67.2,68.32,Auto Parts,Martinrea International Inc,2023
38,../data/processed/Auto Manufacturers - Major-Subaru Corporation-2023 Sustainability Report.txt,-0.2,-0.2,0.9996584189325746,-0.2,-1.0,0.9995406611335614,-0.2,-0.2,-0.2,-0.2,-0.2,0.9716407832545577,-0.2,-0.7848109475322653,0.15553646129665263,-0.8116506479125064,-0.8817507499999998,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1.0,0.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,61.84,75.9,46.97,62.05,Auto Manufacturers - Major,Subaru Corporation,2023
